"","C03-C","C03-R","C03-S","A33-C","A33-R","A33-S"
"ZNF248",2539.96926542148,2788.28870733334,2854.3553686696,24.7886612904893,21.9923763918582,20.741637777189
"CHL1",10974.7159644334,12177.1312755929,12273.1738415184,0,3.51878022269732,2.0741637777189
"ZNF37A",813.674847172141,758.063354279546,698.347138742466,24.7886612904893,17.5939011134866,11.407900777454
"TTR",75.6636123979817,13.506696735493,49.8819384816047,61397.7003763434,54315.0118225001,56677.5623080579
"ZNF439",658.855455650117,629.749735292363,555.352248428533,50.5307326306128,38.7065824496705,53.9282582206915
"NLRP2",1295.59385536852,1483.20413526633,1457.66109118467,1.90682009926841,4.39847527837165,1.03708188885945
"CDH23",455.145729963244,524.228667046323,515.446697643249,2721.98569170565,2309.19952114511,2171.64947527169
"CRABP1",147.835058069903,146.885326998487,175.141028446523,942.922539088227,875.296580395958,1078.56516441383
"ZNF835",359.693172784251,334.290744203453,414.574333158226,8.58069044670783,9.67664561241762,6.22249133315671
"MTND2P28",1302.57818882064,1197.03099818307,1406.67066518125,4855.71738278699,5357.34288905667,6064.85488605008
"FAR2P4",33.7576116852534,59.9359667637503,72.0516889178735,805.631491940901,1015.16809424818,734.253977312492
"HMGA2",278.209282509502,319.095710376023,359.149957067554,2525.583221481,1833.2844960253,2766.93447947702
"LRRC37A4P",67.5152233705067,95.3910456944195,94.2214393541423,634.017683006745,703.756044539464,824.480101643265
"ZNF454",278.209282509502,310.65402491634,318.135918760457,15.2545607941472,10.556340668092,10.3708188885945
"BOC",722.878512294563,609.489690189123,573.088048777548,2680.03564952174,2362.86091954125,2565.74059303828
"SERPINF1",128.046113288892,201.756282486427,218.372041797247,1446.32304529509,1277.31722083913,1396.94930429368
"COLEC12",11.6405557535356,9.28585400565146,19.9527753926419,342.274207818679,400.26125033182,309.050402880117
"PCDHGA3",449.325452086476,606.11301600525,577.521998864802,3.81364019853681,3.51878022269732,0
"MASP1",1202.46940934023,1047.61316554668,1199.38349860214,5456.36571405654,4065.95054732675,4962.43683819248
