"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,0.0220097848296177,3,35,2,0.0571428571428571,0.666666666666667,"CORUM:6528","CORUM","FLRT3-LPHN3-UNC5D complex",3383,2203,"CORUM,CORUM","UNC5D,ADGRL3","UNC5D,ADGRL3","ENSG00000156687,ENSG00000150471","CORUM - FLRT3-LPHN3-UNC5D complex"
"query_1",TRUE,0.0365431402673779,1,35,1,0.0285714285714286,1,"CORUM:1439","CORUM","PTGS2 homodimer complex",3383,752,"CORUM","PTGS2","PTGS2","ENSG00000073756","CORUM - PTGS2 homodimer complex"
"query_1",TRUE,0.0365431402673779,1,35,1,0.0285714285714286,1,"CORUM:5416","CORUM","HTR1A-HTR1B complex",3383,1677,"CORUM","HTR1A","HTR1A","ENSG00000178394","CORUM - HTR1A-HTR1B complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:5414","CORUM","HTR1A-HTR1D complex",3383,1675,"CORUM","HTR1A","HTR1A","ENSG00000178394","CORUM - HTR1A-HTR1D complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:7567","CORUM","SUMO1-SYT7 complex",3383,2899,"CORUM","SYT7","SYT7","ENSG00000011347","CORUM - SUMO1-SYT7 complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:5370","CORUM","ERAP1-ERAP2 complex",3383,1651,"CORUM","ERAP2","ERAP2","ENSG00000164308","CORUM - ERAP1-ERAP2 complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:3052","CORUM","MYC-MAX complex",3383,1359,"CORUM","MYC","MYC","ENSG00000136997","CORUM - MYC-MAX complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:2","CORUM","BCL6-HDAC5 complex",3383,3,"CORUM","BCL6","BCL6","ENSG00000113916","CORUM - BCL6-HDAC5 complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:2655","CORUM","MYC-MAX complex",3383,1120,"CORUM","MYC","MYC","ENSG00000136997","CORUM - MYC-MAX complex"
"query_1",TRUE,0.0365431402673779,1,35,1,0.0285714285714286,1,"CORUM:2541","CORUM","HGF-Met complex",3383,1079,"CORUM","MET","MET","ENSG00000105976","CORUM - HGF-Met complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:2439","CORUM","ITGA8-ITGB1 complex",3383,1048,"CORUM","ITGA8","ITGA8","ENSG00000077943","CORUM - ITGA8-ITGB1 complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:3","CORUM","BCL6-HDAC7 complex",3383,4,"CORUM","BCL6","BCL6","ENSG00000113916","CORUM - BCL6-HDAC7 complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:1944","CORUM","IRAK1-IRAK2 complex",3383,860,"CORUM","IRAK2","IRAK2","ENSG00000134070","CORUM - IRAK1-IRAK2 complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:1508","CORUM","BCL6-ZBTB17 complex",3383,768,"CORUM","BCL6","BCL6","ENSG00000113916","CORUM - BCL6-ZBTB17 complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:1491","CORUM","RGS6-DNMT1-DMAP1 complex",3383,764,"CORUM","RGS6","RGS6","ENSG00000182732","CORUM - RGS6-DNMT1-DMAP1 complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:408","CORUM","Guanylyl cyclase, soluble (GUCY1A3, GUCY1B3)",3383,237,"CORUM","GUCY1A1","GUCY1A1","ENSG00000164116","CORUM - Guanylyl cyclase, soluble (GUCY1A3, GUCY1B3)"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:6708","CORUM","KCNQ1-KCNE4 complex",3383,2320,"CORUM","KCNE4","KCNE4","ENSG00000152049","CORUM - KCNQ1-KCNE4 complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:5419","CORUM","HTR1A-GPR26 complex",3383,1680,"CORUM","HTR1A","HTR1A","ENSG00000178394","CORUM - HTR1A-GPR26 complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:6798","CORUM","S1PR1-c-Met-ITGB4 complex, HGF- or S1P-induced",3383,2380,"CORUM","MET","MET","ENSG00000105976","CORUM - S1PR1-c-Met-ITGB4 complex, HGF- or S1P-induced"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:6529","CORUM","FLRT3-LPHN3 complex",3383,2204,"CORUM","ADGRL3","ADGRL3","ENSG00000150471","CORUM - FLRT3-LPHN3 complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:6520","CORUM","Harmonin-SANS complex",3383,2195,"CORUM","USH1G","USH1G","ENSG00000182040","CORUM - Harmonin-SANS complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:6516","CORUM","SLN-PLN-SERCA2A complex",3383,2191,"CORUM","SLN","SLN","ENSG00000170290","CORUM - SLN-PLN-SERCA2A complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:6514","CORUM","SLN-ATP2A1 complex",3383,2189,"CORUM","SLN","SLN","ENSG00000170290","CORUM - SLN-ATP2A1 complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:6821","CORUM","TTR-RBP complex",3383,2394,"CORUM","RBP4","RBP4","ENSG00000138207","CORUM - TTR-RBP complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:6085","CORUM","MCPIP1-MCPIP4 complex",3383,1879,"CORUM","ZC3H12D","ZC3H12D","ENSG00000178199","CORUM - MCPIP1-MCPIP4 complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:6927","CORUM","Robo4–paxillin complex",3383,2465,"CORUM","ROBO4","ROBO4","ENSG00000154133","CORUM - Robo4–paxillin complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:5809","CORUM","GABA-A receptor (GABRA1, GABRB2, GABRG2)",3383,1815,"CORUM","GABRG2","GABRG2","ENSG00000113327","CORUM - GABA-A receptor (GABRA1, GABRB2, GABRG2)"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:5418","CORUM","GABBR2-HTR1A complex",3383,1679,"CORUM","HTR1A","HTR1A","ENSG00000178394","CORUM - GABBR2-HTR1A complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:5760","CORUM","PLXNA4-RANBPM complex",3383,1806,"CORUM","PLXNA4","PLXNA4","ENSG00000221866","CORUM - PLXNA4-RANBPM complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:5733","CORUM","NRP2-VEGFD complex, heparin dependent",3383,1791,"CORUM","NRP2","NRP2","ENSG00000118257","CORUM - NRP2-VEGFD complex, heparin dependent"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:7240","CORUM","CHRNA7-GRIN2A complex",3383,2713,"CORUM","GRIN2A","GRIN2A","ENSG00000183454","CORUM - CHRNA7-GRIN2A complex"
"query_1",TRUE,0.0365431402673779,2,35,1,0.0285714285714286,0.5,"CORUM:5673","CORUM","PlexinA1-Nrp2 complex",3383,1769,"CORUM","NRP2","NRP2","ENSG00000118257","CORUM - PlexinA1-Nrp2 complex"
