"","C03-C","C03-R","C03-S","C09-C","C09-R","C09-S","A33-C","A33-R","A33-S"
"GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",-0.156866918244158,0.144572131533713,-0.268363068997037,-0.396195794979144,-0.381457736632013,-0.242026095048538,0.468606247884736,0.35632035017376,0.205460500989786
"GOBP_REPRODUCTION",-0.0455397307038222,-0.142474117309607,-0.20416078748915,0.00308874810994139,0.00613714943312749,0.0316597660858755,0.0476689572265598,0.00219569814675621,0.0858025975353319
"GOBP_SINGLE_STRAND_BREAK_REPAIR",-0.104182039137573,0.630231140918802,0.0843813688961807,-0.5682134459298,-0.69874177788564,-0.357836256008625,0.55255671538953,0.477683890416218,0.0959659921703257
"GOBP_REGULATION_OF_DNA_RECOMBINATION",-0.0034765799854336,0.0132383238575561,-0.297311553923794,-0.388884954476839,-0.359588670230912,-0.359162341498101,0.42546184150505,0.393678041503136,0.214464541940268
"GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",0.0758203565936737,0.658653041761167,0.272987838707039,-0.587315584194975,-0.501005242302043,-0.510480166843766,0.293548337531241,0.35423883951803,0.00951410544975642
"GOBP_MITOTIC_SPINDLE_ELONGATION",0.291339641346381,-0.658935223890321,-0.518042824265689,-0.421895357622999,-0.579243803818757,-0.285240855079929,0.699758164470036,0.481609030382098,0.688428898729236
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",-0.234236959343995,0.0280044720480025,-0.502791415632206,-0.380823669412551,0.383152111674398,-0.513287812091172,0.504073758291978,0.192006112760044,0.00375395543753218
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",-0.0699903511069289,-0.381391500024592,-0.625752311098545,-0.0319957765917666,0.552052173254029,-0.400878374833208,0.39852683971682,0.195736835148924,-0.169235670985979
"GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",-0.107102908220197,0.128064731663716,-0.0533409573027562,0.102966640845148,0.309795595506617,-0.0761484075306933,-0.241016998973995,-0.101572692993576,-0.284478002319952
"GOBP_TRANSITION_METAL_ION_TRANSPORT",-0.150753878174995,0.0924129957018554,0.0505410911946498,0.146078769583597,0.239455173389884,-0.0674753456802347,-0.21531545109562,-0.288204915649388,-0.355923918906569
"GOBP_UREA_CYCLE",-0.348196133569087,-0.21698408439743,-0.332046070078407,0.170315244088429,0.688018101255147,0.187557276725509,0.00906938676942406,-0.126801003479443,0.287443695043147
"GOBP_CITRULLINE_METABOLIC_PROCESS",-0.286972598509933,-0.440970854076535,-0.53683139641138,-0.26373417997807,0.327296874941242,0.344882258615996,0.240466479901177,0.175901828101975,0.252340012928279
"GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS",0.0326016894527718,0.00606745579232568,-0.519664490351528,-0.574250960243983,-0.12465501973847,-0.536010857120454,0.601946794917563,0.478349087499157,0.158230940601408
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",0.0479242979243585,-0.284153723361858,-0.610223464543104,-0.541386627701308,-0.253575677735859,-0.495472732496609,0.618267534934009,0.568104734771285,0.330181564905766
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",0.120946954280349,-0.0898799433499192,-0.51326164845959,-0.564546794410534,-0.189196045856011,-0.581415090667939,0.648351648351551,0.579146521360474,0.217403115112017
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",-0.0367781375389228,-0.35672166947881,-0.484877347071276,-0.369930580107494,-0.195730223039131,-0.416483864514065,0.535413705913676,0.457516342988707,0.440013172647919
"GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING",-0.111210113894158,-0.321528819693671,-0.431617829467501,-0.28556127284142,-0.243776140759321,-0.274070623848757,0.482003275163597,0.389466935243483,0.271729732453081
