"","C03-R","C09-R","A33-R"
"CHL1",13575.0179549539,8885.51899753789,3.96381615071674
"NTS",541.118566661942,740.98247109555,15.855264602867
"PTER",932.606086194756,416.998597979019,16.8462186405461
"CBLN2",650.283355762438,883.117331559577,33.6924372810923
"CNTN4",897.78628277477,500.607339428446,0
"NF1P8",0.941075768107725,1.04510926811784,293.322395153039
"ZNF681",818.735918253721,373.10400871807,22.7919428666212
"COL3A1",257.854760461517,8554.21935954454,42.6110236202049
"NEK2P4",5.64645460864635,1.04510926811784,290.349533040001
"C1QL3",601.347415820836,143.179969732144,6.93667826375429
"COL6A3",51.7591672459249,898.793970581344,0
"GABRA1",1014.47967802013,565.404114051753,55.4934261100343
"NELL1",1503.83907743614,785.922169624617,87.2039553157682
"LCN9",11.2929092172927,1178.88325443693,1.98190807535837
"COL1A2",105.400486028065,4376.91761487752,33.6924372810923
"CREG2",1375.85277297349,1017.93642714678,126.842116822936
"NRGN",749.096311413749,929.102139356762,83.2401391650515
"APOB",0,2181.14304256194,0
"APOC3",0,1793.40750409022,0
"GRIN2A",1258.21830196003,459.84807797185,66.3939205245054
"APOA2",0,1345.05562806766,0
"GABRG1",529.825657444649,597.802501363406,58.4662882230719
"S100A14",0,537.186163812571,0
"THNSL2",36.7019549562013,368.923571645598,1.98190807535837
"CBLN4",31.0555003475549,287.405048732407,0
"GALC",611.699249270021,1399.40131000979,97.1134956925601
"MAPK8IP1P2",507.239839010064,869.530911074045,69.3667826375429
"SI",0,793.237934501442,0
"CHCHD2",29.1733488113395,1364.9127041619,12.8824024898294
"GALNT9",375.489231474982,731.576487682489,52.5205639969968
"GSTA1",0,561.223676979281,0
"LINC01291",0,2.09021853623568,137.742611237407
"PCDHGA3",675.692401501347,14.6315297536498,3.96381615071674
"RBP2",9.41075768107725,1196.65011199493,6.93667826375429
"SPHKAP",1624.29677575393,594.667173559052,102.068265880956
"SV2B",1668.527336855,663.64438525483,112.968760295427
"ZNF454",346.315882663643,129.593549246612,11.8914484521502
"FAR2P4",66.8163795356485,2.09021853623568,1143.56095948178
"IGFBP3",926.018555818001,424.314362855844,66.3939205245054
"TSPAN8",7.5286061448618,364.743134573127,0
"CLEC2A",0,439.991001877611,0
"IGSF21",1882.15153621545,1585.43075973477,255.66614172123
"PTPRE",467.714656749539,502.697557964682,54.5024720723551
"FGG",0,379.374664326777,0
"MAGEH1",3240.1238695949,3092.47832436069,501.422743065667
"CDH17",10.351833449185,756.659110117318,4.95477018839592
"MEP1A",0,351.156714087595,0
"PPP1R1A",348.198034199858,998.079351052539,60.4481962984302
"PCDHB8",341.610503823104,378.329555058659,36.6652993941298
"HPN",4.70537884053862,328.164310189002,0
"ITGA8",84.6968191296953,131.683767782848,1.98190807535837
"ZNF835",372.666004170659,93.0147248624879,10.900494414471
"TXNRD2",54.5823945502481,128.548439978495,0
"AGR2",5.64645460864635,305.17190629041,0
"GABRA4",1111.41048213522,175.578357043797,39.6381615071674
"LRRC37A4P",106.341561796173,38.6690429203602,792.763230143348
"PTPRT",2206.82267621262,1074.37232762514,215.037026176383
"CHL1-AS2",79.0503645210489,87.7891785218987,0
"GABRB1",490.300475184125,240.375131667104,33.6924372810923
"MAP7D2",597.583112748405,482.840481870443,68.3758285998637
"SLC24A3",508.180914778172,1102.59027786432,96.1225416548809
"GABRA5",2044.01656832998,606.163375508348,137.742611237407
"RPRM",6020.06168858512,816.230338400035,255.66614172123
"UNC5D",1909.44273349057,711.71941158825,154.588829877953
"CNTN6",11.2929092172927,207.976744355451,0
"LAMC3",13.1750607535082,334.434965797709,1.98190807535837
"PIGR",2.82322730432318,283.224611659935,0
"TAFA2",3024.61751869823,1093.18429445126,253.684233645871
"TNFAIP8L3",120.457698317789,39.714152188478,0
"COL1A1",189.156229389653,3901.3928978839,96.1225416548809
"LUM",55.5234703183558,307.262124826646,6.93667826375429
"NPNT",493.123702488448,669.915040863537,80.2672770520139
